A0A089QKZ7,0.532, 0.655, 0.970,62,0
A0A089QRB9,0.089, 0.433, 0.742,2085,1
E2FZM4,0.885, 0.000, 0.945,61,0
E2FZM5,0.833, 0.000, 0.956,54,0
I6WX95,0.149, 0.027, 1.000,87,1
I6WXK4,0.203, 0.168, 0.768,276,3
I6WXK8,0.548, 1.000, 0.956,42,0
I6WXS6,0.000, 0.281, 1.000,64,1
I6WY86,0.046, 0.123, 1.000,197,1
I6WYT7,0.211, 0.653, 0.607,508,4
I6WYU2,0.010, 0.149, 1.000,411,2
I6WYY7,0.000, 0.007, 1.000,142,1
I6WZ26,0.055, 0.264, 1.000,240,1
I6WZ30,0.461, 0.033, 0.657,165,1
I6WZ39,1.000, 0.000, 0.429,84,0
I6WZ58,0.172, 0.579, 0.686,313,2
I6WZ71,0.009, 0.009, 1.000,326,1
I6WZ83,0.038, 0.084, 1.000,185,1
I6WZD7,0.044, 0.045, 1.000,139,1
I6WZD9,0.062, 0.182, 1.000,275,1
I6WZG6,0.000, 0.023, 1.000,265,1
I6WZH9,0.048, 0.137, 1.000,270,2
I6WZI4,0.353, 0.495, 0.218,684,2
I6WZK3,0.537, 1.000, 1.000,80,0
I6WZK7,0.113, 0.056, 0.142,504,2
I6WZM9,0.134, 0.599, 0.224,135,2
I6WZS4,0.067, 0.211, 1.000,193,2
I6WZS8,0.000, 0.039, 1.000,358,1
I6X043,0.000, 0.078, 1.000,129,1
I6X235,0.005, 0.102, 1.000,207,1
I6X486,0.020, 0.134, 1.000,99,1
I6X4D6,0.037, 0.167, 1.000,217,1
I6X4J0,0.054, 0.042, 0.204,470,2
I6X4K0,0.123, 0.225, 0.610,947,4
I6X4S7,0.086, 0.152, 0.872,281,2
I6X4W0,0.142, 0.048, 0.669,148,1
I6X4W4,0.122, 0.540, 0.623,498,4
I6X520,0.000, 0.013, 1.000,77,1
I6X540,0.151, 0.214, 0.762,165,1
I6X548,0.875, 1.000, 0.928,223,0
I6X552,0.099, 0.614, 1.000,161,2
I6X562,0.610, 1.000, 0.800,82,0
I6X579,0.017, 0.049, 1.000,231,1
I6X5B0,0.569, 0.866, 0.178,139,1
I6X5C5,0.032, 0.018, 1.000,344,1
I6X5C9,0.054, 0.160, 0.722,331,3
I6X5G8,0.066, 0.195, 1.000,181,1
I6X5H3,0.006, 0.212, 1.000,360,2
I6X5I7,0.066, 0.185, 0.818,405,2
I6X5K1,0.011, 0.042, 1.000,457,2
I6X5M3,0.202, 0.438, 0.550,252,2
I6X5T4,0.100, 0.255, 0.900,413,3
I6X5U4,0.041, 0.099, 1.000,241,1
I6X5W1,0.153, 0.331, 0.935,210,1
I6X5W6,0.089, 0.115, 0.618,237,1
I6X5Z8,0.064, 0.332, 1.000,219,2
I6X630,0.271, 0.521, 0.886,129,1
I6X642,1.000, 0.000, 0.436,94,0
I6X654,0.027, 0.154, 0.630,721,3
I6X658,0.144, 0.220, 0.208,202,1
I6X666,0.070, 0.198, 1.000,158,1
I6X6H8,0.572, 0.211, 0.056,409,1
I6X7B3,0.058, 0.166, 0.931,280,2
I6X7D4,0.053, 0.037, 1.000,285,1
I6X7F2,0.387, 0.052, 0.788,220,1
I6X7F9,0.093, 0.062, 1.000,107,1
I6X7G4,0.323, 0.037, 0.167,242,1
I6X7G8,0.123, 0.537, 0.927,350,2
I6X7H4,0.000, 0.016, 1.000,63,1
I6X7J6,0.277, 0.057, 0.181,343,1
I6X7P2,0.136, 0.059, 0.375,176,1
I6X7W8,0.076, 0.140, 1.000,395,2
I6X7X3,0.221, 0.118, 0.624,240,1
I6X7Z3,0.088, 0.341, 0.375,549,3
I6X7Z8,0.149, 0.200, 1.000,94,1
I6X811,0.063, 0.021, 0.143,541,2
I6X824,0.019, 0.230, 1.000,53,1
I6X827,0.137, 0.138, 0.752,319,1
I6X831,0.006, 0.045, 1.000,154,1
I6X849,0.660, 0.500, 0.529,106,0
I6X8D2,0.183, 0.370, 0.514,1733,6
I6X8E6,0.098, 0.476, 1.000,112,1
I6X8G2,0.074, 0.270, 1.000,68,1
I6X8R2,0.005, 0.030, 1.000,663,1
I6X8R5,0.287, 0.320, 0.307,136,1
I6X8S7,0.008, 0.008, 1.000,487,1
I6X961,0.535, 0.957, 0.308,200,1
I6X9D2,0.143, 0.445, 1.000,84,1
I6X9E2,0.136, 0.041, 0.162,316,2
I6X9E8,0.398, 0.719, 0.550,201,2
I6X9F4,0.311, 0.263, 0.228,354,2
I6X9J0,0.004, 0.018, 1.000,542,1
I6X9N4,0.067, 0.248, 1.000,104,2
I6X9N8,0.634, 0.874, 0.189,175,1
I6X9Q1,0.311, 0.645, 1.000,45,0
I6X9R9,0.000, 0.018, 1.000,489,1
I6X9S5,0.016, 0.038, 1.000,512,2
I6X9T8,0.092, 0.089, 0.250,347,2
I6X9V3,0.030, 0.121, 1.000,368,1
I6X9X6,0.078, 0.056, 0.756,270,1
I6X9Y7,0.007, 0.068, 1.000,147,1
I6XA34,0.004, 0.109, 1.000,257,1
I6XA42,0.012, 0.030, 1.000,166,1
I6XCB2,0.299, 0.247, 0.696,231,2
